common_name,species,info
Golden-cheeked Woodpecker,Melanerpes chrysogenys,"The Golden-cheeked Woodpecker is a year-round resident endemic to the Pacific lowlands of western Mexico, from Sinaloa south to eastern Oaxaca. It inhabits tropical dry forests but is also reasonably abundant in human-modified vegetation, such as plantations and second-growth forests. The species mostly foraging in trees where it gleans and probes for food. The broad black eye patch and yellow on the cheeks and chin are characteristics that differentiate it from other Melanerpes woodpeckers found on the Pacific slope of Mexico, such as the Gila Woodpecker (Melanerpes uropygialis) and Black-cheeked Woodpecker (Melanerpes pucherani). The Golden-cheeked Woodpecker is not currently believed to be at a risk of extinction due to its reasonably large distribution and relative abundance."
Gray-breasted Woodpecker,Melanerpes hypopolius,"The Gray-breasted Woodpecker is an endemic resident of arid zones across southwestern Mexico, being found in arid scrubland and dry forest in the states of Guerrero, Morelos, Puebla, and Oaxaca. As an obligate cavity nester, cacti play a central role in their nesting and roosting behavior as these plants provide an ideal substrate for cavity excavation. The species often feeds on winged insects caught in midair, but also forages on cacti fruits. Gray-breasted Woodpecker is a generally noisy and conspicuous bird that is often seen in groups, foraging, perching, or even nesting together, which suggests a reasonably complex social interspecific behavior. However, in relation to other bird species it is somewhat territorial towards those with similar dietary habits, and antagonistic interactions occur with species such as tyrannid flycatchers. Information about this woodpecker’s breeding biology, general life history, and demographic dynamics is still limited."
Yucatan Woodpecker,Melanerpes pygmaeus,"This poorly known, resident woodpecker inhabits deciduous forests, forest borders, scrubby woodlands, second growth, clearings, and scrubby coastal areas. Other than its habitat preferences, extremely few aspects of its ecology have been established. Yucatan Woodpeckers are more often found at lower altitudes than are Golden-fronted Woodpeckers (Melanerpes aurifrons). Males and females both have yellow feathers at the base of their short bills."
Red-crowned Woodpecker,Melanerpes rubricapillus,"Red-crowned Woodpeckers are residents of both arid and moist habitats including coastal and desert scrub, dry forests, humid forest edges, second growth, deciduous forests, plantations, urban parks, and other cultivated areas. In areas with full wooded coverage, they are more likely to be found at higher levels, while in more open areas, they tend to come to lower levels. In regions where this woodpecker overlaps with the Black-cheeked Woodpecker (Melanerpes pucherani), the Black-cheeked is dominant in wooded areas. Red-crowned Woodpeckers forage individually or in pairs at all levels of the forest, searching for insects, fruit, or even taking nectar from flowers. Both males and females drum and give hard rattling calls. Among their common nesting sites are cacti, fence posts, and trees. Pairs stay together year-round but sleep individually in holes."
Gila Woodpecker,Melanerpes uropygialis,"The Gila Woodpecker is a noisy, aggressive species that is characteristic of arid habitats in a limited part of the southwestern United States and northwestern Mexico, being most abundant on the desert mesas of southern Arizona. It is characteristic of sparsely covered deserts containing large saguaro cacti (Carnegiea gigantea), but the bird's range extends farther north, east, and west than that of the saguaro.

The species is largely sedentary, with some movement to the north or to higher elevations in winter. While often closely associated with saguaros, the Gila Woodpecker also makes ready use of riparian woodlands and residential areas. It is an omnivore, eating flowers and fruits of saguaros and other cacti and plants, insects, other animals, and even bird eggs.

The woodpecker has interesting associations with other species. It acts aggressively toward numerous species, and at the same time provides cavities for many secondary cavity-nesters. European Starlings (Sturnus vulgaris) compete directly with Gila Woodpeckers for nest cavities and pose a potential threat to some populations.

Coverage of the species' life history is uneven: Some aspects have been studied extensively and others have been left virtually untouched. Particularly important contributions include those on general life history (Bent 1939), systematics (Selander and Giller 1963), foraging (Rosenberg et al. 1982, Martindale 1980b), physiology (Braun 1969c), vocalizations (Brenowitz Brenowitz 1978a, Brenowitz 1978b), nesting characteristics (Gilman 1915b, Soule 1964, Inouye et al. 1981, Kerpez and Smith 1990b), populations and effects of human activity (Emlen 1974, Anderson et al. 1982a, Tweit and Tweit 1986, Rosenberg et al. Rosenberg et al. 1982, Rosenberg et al. 1991, Kerpez and Smith 1990a), molts and plumages (Ridgway 1914b, Selander and Giller 1963, Pyle and Howell 1995, Pyle 1997c), and morphological measurements (Martindale and Lamm 1984)."
Hoffmann's Woodpecker,Melanerpes hoffmannii,"A typical bar-backed Melanerpes, Hoffmann’s Woodpecker is largely creamy below and on the head, with a dark gray back and black wings, both heavily barred in white, while the nape is golden yellow; males also have a small red crown patch. Like many Melanerpes, this woodpecker has proved itself able to adapt to human-modified habitats. Indeed, it shuns dense forest, preferring semiopen wooded country, especially in xeric areas. It ranges from sea level to over 2000 m elevation. Consequently, despite being restricted to the Pacific slope of Central America, from Honduras south to Costa Rica, Hoffmann’s Woodpecker is not perceived to be threatened by deforestation. The breeding season occupies much of the first half of the year, and the species is double-brooded."
Golden-fronted Woodpecker,Melanerpes aurifrons,"A sedentary species whose distribution straddles the temperate and tropical regions of Middle America, the Golden-fronted Woodpecker ranges into the United States only to Texas and southwestern Oklahoma. Exhibiting complex geographic variation, this woodpecker is composed of three to four distinct but intergrading groups of subspecies. Earlier in the twentieth century the subspecies themselves were considered separate species. Only the nominate race occurs north of Mexico.

Throughout its limited U.S. range the Golden-fronted Woodpecker is a species of the dry brushlands and semiopen woodlands of the southern plains. The greatest density of this species in the United States is in the mesquite (Prosopis glandulosa) brushlands of south Texas. It is often common and calls loudly, hence is a conspicuous species. Its appearance, behavior, and vocalizations are similar to those of the closely related Red-bellied Woodpecker (Melanerpes carolinus), with which it hybridizes.

The Golden-fronted Woodpecker consumes about as much fruit and nuts as it does insects. In summer in Texas, individual woodpeckers stain their faces purple from eating fruit of the prickly pear cactus (Opuntia spp.). Late-fall and winter concentrations of this woodpecker in riparian pecan (Carya illinoinensis) tree stands attest to its taste for nuts. It seldom excavates wood for insects; rather it gleans, probes, or sallies for its food. It excavates its own roost and nest cavities.

Remarkably little has been published on the natural history of this species. Brief and incomplete general accounts are available in Bent 1939 and Oberholser 1974; a more complete account in Short 1982 . Papers, monographs, and theses on systematics (Selander and Giller 1963), interspecific behavior (Selander and Giller 1959a), differential niche use between sexes (Selander 1966), foraging (Selander 1966, Askins 1983, Kujawa 1984), hybridization with Red-bellied Woodpecker (Smith 1987c), territoriality and associated behaviors (Selander and Giller 1959a, Husak 1997d, Husak 1997a, Husak 1997b), breeding-season displays (Husak 1996), and assorted life history observations (Skutch 1933, Skutch 1945a, Skutch 1969b) constitute the few significant studies that focus on this species. The Golden-fronted Woodpecker's nutrition, physiology, development, and population biology, as well as much of its reproductive biology, remain unknown. Geographic variation in any aspects of its natural history other than foraging ecology is unstudied. Much of the information available has been gathered from Texas and, to a lesser degree, Central America.

What is known of the population trends of this species does not justify concern; indeed this species seems to have increased in numbers and distribution within the past 40 years in much of Texas and Oklahoma. The proliferation of mesquite on rangeland favors this woodpecker."
Red-bellied Woodpecker,Melanerpes carolinus,"This species account is dedicated in honor of Phil Bartels, member of the Cornell Lab of Ornithology's Administrative Board.

Conspicuous and pugnacious, the Red-bellied Woodpecker is common throughout the eastern United States and especially ubiquitous in the southeastern coastal plain, including Florida. In the early 1900s, the species began to expand its range northward and westward, and vagrants have been found as far west as eastern Oregon. The Red-bellied Woodpecker’s broad diet and general habitat requirements (1), its use of bird feeders (2, 3), and its response to tree planting (4) and climate change (5, 6) are contributing to its range expansion. Most populations are resident year-round, although individuals occupying northern areas may retreat south during cold winters (7).

A habitat generalist extraordinaire, the Red-bellied Woodpecker uses a wide range of habitats ranging from tropical hammocks and mangroves to northern deciduous forests, from forested wetlands to xeric pine forests, and both undisturbed and human modified landscapes, including urban areas. It seldom excavates for insects—instead, it forages opportunistically for a wide range of food items depending on the season, including fruit, hard mast, seeds, arboreal arthropods, and small vertebrates. Unlike other more specialized members of its genus, the Red-bellied Woodpecker caches food items less frequently and only rarely catches insects on the wing. Its skull morphology is more similar to other zebra-backed woodpeckers, formerly in the genus Centurus, than Red-headed Woodpecker (Melanerpes erythrocephalus), Acorn Woodpecker (M. formicivorus), or Lewis’s Woodpecker (M. lewis) (8).

The Red-bellied Woodpecker consumes a wide variety of fruit (9) and its affinity for fruit crops, particularly oranges, is reflected by colloquial names such as the “orange borer” and “orange sapsucker.” Another common colloquial name is “red-headed woodpecker” by virtue of the male’s prominent red crown and nape.

Cavities excavated by the Red-bellied Woodpecker in dead or dying wood provide shelter and nest sites for a variety of other vertebrate species. At the same time, the Red-bellied Woodpecker is a well-known predator on the eggs and nestlings of a variety of open-cup and cavity nesting birds (10). Like other generalist species that benefit from human alteration of natural habitats, the Red-bellied Woodpecker may compete with species of management concern. For example, the Red-bellied Woodpecker commonly displaces Red-cockaded Woodpecker (Dryobates borealis) from foraging locations (11) and can aggressively compete with that species for breeding and roosting cavities (12, 13, 14).

Many aspects of the life history of the Red-bellied Woodpecker have been well studied, though nutrition, physiology, and seasonal movements remain little studied."
West Indian Woodpecker,Melanerpes superciliaris,"This conspicuous, vocal woodpecker is resident in a wide variety of habitats on Grand Cayman, Cuba and nearby islands, and San Salvador, Abaco, and (until recently) Grand Bahama in The Bahamas. West Indian Woodpecker is similar to the Red-bellied Woodpecker (Melanerpes carolinus) of eastern North America in appearance and behavior, but it is usually larger. Also, most subspecies of West Indian Woodpecker have a distinctive black mark over and behind the eye (the supercilium of the scientific name).

West Indian Woodpecker frequently is found in areas with tall, smooth-trunked palms, which provide suitable nesting habitat, and this limits its distribution on some islands. It forages solitarily or in pairs on the trunks and branches of trees. Its feeding behavior is exceptionally broad for a woodpecker. It gathers insects, spiders, small frogs, and lizards by pecking on bark, probing into bromeliad leaves, or gleaning vegetation, and also frequently feeds on fruit. Distinct populations on particular islands are recognized as separate subspecies. Although West Indian Woodpecker is common on Cuba and Grand Cayman, some of the subspecies on smaller islands have small populations that are vulnerable to extinction, and the original Grand Bahama population probably has been extirpated."
Williamson's Sapsucker,Sphyrapicus thyroideus,"Inhabiting open coniferous and mixed coniferous-deciduous forests of western North America, Williamson's Sapsucker has been considered a sensitive indicator species because of its specific habitat requirements. Like other sapsuckers, it drills conspicuous rings of holes (“sap wells”) into tree trunks, specializing on coniferous sap and phloem. Breeders switch to a diet of ants during the nestling period.

Unlike all other woodpeckers, Williamson's Sapsucker exhibits spectacular sexual differences in plumage. Males are black with bright red, yellow, and white, while females are mostly cryptic brown with little contrast except for their yellow bellies. These plumage differences confused early naturalists, who thought the two sexes were separate species. John Cassin first described the species as Picus thyroideus in 1851 from two adult female specimens secured by John Graham Bell while on a collecting trip to California in 1849–1850 (1). Cassin (2) changed the genus provisionally to Melanerpes and applied the first common name, Black-breasted Woodpecker. John Newberry (3) collected a male in 1855 in southern Oregon near Klamath Lake and named it Williamson's Woodpecker (Picus williamsonii). Both “species” were renamed under the new genus Sphyrapicus by Baird (4); two other common names of thyroideus included Brown-headed Woodpecker (5) and Round-headed Woodpecker (6).

The confusion between sexes and species ended when Henry Henshaw verified in 1873 that the two were a single species when he observed a mated pair at a nest in Colorado to which he applied the common name Black-breasted Woodpecker (7). The first ornithological compilation to treat both species as one was Coues (8) using the common name “Black-breasted or Williamson's Woodpecker.” The name sapsucker came into use after being applied to Sphyrapicus in the first checklist of American Ornithologists' Union in 1886, which also standardized the common name Williamson's. The species was named after Lieutenant Robert Stockton Williamson (1824–1882), who conducted early railroad surveying expeditions in the West Coast states (9), including the expedition upon which John Newberry collected the first male specimen.

Williamson's Sapsucker populations had a stable trend overall from 1966–2019 based on Breeding Bird Survey (BBS) routes. In Canada, the species' status was designated as Endangered in 2005, and that assessment was re-confirmed in 2017, because of small populations and habitat loss of mature western larch (Larix occidentalis) forests, a key habitat for the species."
Yellow-bellied Sapsucker,Sphyrapicus varius,"Widely known in North American folklore for its amusing name, this woodpecker creates shallow holes (sap wells) in the bark of trees and feeds on sap that flows into them. Like other sapsuckers, the Yellow-bellied Sapsucker creates elaborate systems of such sap wells and maintains them daily to ensure sap production, defending the wells from other birds, including other sapsuckers. When feeding young, sapsuckers usually forage for arthropods, especially ants, but some of these prey items are dipped in sap wells, perhaps for added nutritional value.

Sapsuckers appear to play an important ecological role in the communities they inhabit. Many animals make use of sapsucker sap wells to supplement their own food intake with sap itself or with insects attracted to the sap. The Ruby-throated Hummingbird (Archilochus colubris) appears to be closely allied with sapsuckers. This humming-bird places its nest near sap wells, follows sapsuckers in their daily movements, and may even time its migration to coincide with that of sapsuckers (Miller and Nero 1983). In addition to drilling sap wells in trees, sapsuckers excavate nest cavities that often provide nesting or roost sites for other species of birds and even some mammals (e.g., northern flying squirrel [Glaucomys sabrinus]) that cannot excavate their own.

The taxonomic complex comprising the Yellow-bellied, Red-naped (Sphyrapicus nuchalis), and Red-breasted (S. ruber) sapsuckers has often been treated as a single species with an east-west pattern of in-creasing amounts of red plumage. The Yellow-bellied Sapsucker, least red, breeds east of the Rocky Mountains; Red-naped Sapsucker breeds in the Rocky Mountain-Great Basin region; and Red-breasted Sapsucker, with its head entirely red, is found along the Pacific Coast. Within this species complex, research has focused on Yellow-bellied Sapsuckers, but the biology of all 3 species is undoubtedly similar (see Walters et al. 2002a). Major studies of Yellow-bellied Sapsucker include that of Louise de Kiriline Lawrence, working in Ontario (Lawrence 1967), and Lawrence Kilham, working in New Hampshire (Kilham Kilham 1962a, Kilham 1971a, Kilham 1977e, Kilham 1983a)."
Red-naped Sapsucker,Sphyrapicus nuchalis,"Red-naped, Red-breasted (Sphyrapicus ruber), and Yellow-bellied Sapsucker (S. varius), form a superspecies. These 3 species have, for the most part, separate distributions but were long treated as forms of a single species—the “Yellow-bellied Sapsucker”—until 1983, when systematic studies showed distinctions sufficient to warrant taxonomic treatment as separate species. Most of the early literature and research on this complex refer to Yellow-bellied Sapsuckers of eastern North America (found generally east of the Rocky Mountains). Limited, but more recent, work has focused on populations of the Red-naped Sapsucker of the Rocky Mountain trench region from central British Columbia to Arizona. The biology of these 3 species appears to be quite similar.

The name “sapsucker” has been applied to the woodpecker genus Sphyrapicus because these birds create sap wells in the bark of woody plants and feed on sap that appears there. Sap wells are shallow holes drilled through outer bark to the underlying phloem or xylem tissues.

When Red-naped Sapsuckers first arrive at their breeding areas, they often drill sap wells in the xylem of conifers and quaking aspen (Populus tremuloides). Once temperatures increase and sap begins to flow, these birds switch to phloem wells in aspen or willow (Salix spp.), if available. This species creates elaborate systems of sap wells and maintains this resource throughout the day to ensure sap production. Because of this large investment in maintenance, sapsuckers defend wells from other sapsuckers, as well as from other species. When feeding young, sapsuckers usually forage for arthropods—especially ants (Formicidae)—and some of these prey items are dipped in sap wells, perhaps for added nutritional value.

Other species make use of sapsucker wells to supplement their food intake with sap or with insects attracted to the sap. Rufous Hummingbirds (Selasphorus rufus), for example, appear to be closely associated, ecologically, with Red-naped Sapsuckers and they place their nests near sap wells, follow sapsuckers in their daily movements, and may even time their migration to coincide with that of sapsuckers so they can feed off the sap wells. In addition, sapsuckers excavate nest cavities that often provide nesting or roost sites for other species of birds (for example, Mountain Bluebirds [Sialia currucoides]), and even some mammals (for example, northern flying squirrel [Glaucomys sabrinus]) that cannot excavate their own.

In areas where their ranges overlap, Red-breasted and Red-naped sapsuckers are known to hybridize. The first major study of the breeding biology of these species was by Thomas Howell, who conducted 163 hours of observations at 14 nests in a hybrid zone in Modoc County, California (Howell 1952). Most recent work on this species has focused on Red-breasted–Red-naped sapsucker hybrid zones in Oregon (Trombino 1998) and on the breeding biology of Red-naped Sapsuckers in Nevada (Fleury 2000) and British Columbia (Walters 1996). Reference to, and comparisons with, Yellow-bellied Sapsucker studies aid our understanding of this species (see Walters et al. 2002c)."
Red-breasted Sapsucker,Sphyrapicus ruber,"Red-breasted, Red-naped (Sphyrapicus nuchalis), and Yellow-bellied Sapsucker (S. varius) form a superspecies. These 3 species have, for the most part, separate distributions but were long treated as forms of a single species—the “Yellow-bellied Sapsucker”—until 1983, when systematic studies showed distinctions sufficient to warrant taxonomic treatment as separate species. Most of the early literature and research on this complex refer to Yellow-bellied Sapsuckers of eastern North America (found generally east of the Rocky Mountains). Limited, but more recent, work has focused on populations of the Red-breasted Sapsucker, with coastal distribution from northern British Columbia to California. The biology of these 3 species appears to be quite similar.

The name “sapsucker” has been applied to the woodpecker genus Sphyrapicus because these birds create sap wells in the bark of woody plants and feed on sap that appears there. Sap wells are shallow holes drilled through outer bark to the underlying phloem or xylem tissues. Red-breasted Sapsuckers occupy similar areas in all seasons and usually make wells in conifers for most of the year. This species creates elaborate systems of sap wells and maintains this resource throughout the day to ensure sap production. Because of this large investment in maintenance, sapsuckers defend wells from other sapsuckers, as well as from other species. When feeding young, sapsuckers usually forage for arthropods—especially ants (Formicidae)—and some of these prey items are dipped in sap wells, perhaps for added nutritional value.

Other species make use of sapsucker wells to supplement their food intake with sap or with insects attracted to the sap. Rufous Hummingbirds (Selasphorus rufus), for example, appear to be closely associated, ecologically, with Red-breasted Sapsuckers and they place their nests near sap wells and follow sapsuckers in their daily movements. In addition, sapsuckers excavate nest cavities that often provide nesting or roost sites for other species of birds (for example, Mountain Bluebirds [Sialia currucoides]), and even some mammals (for example, northern flying squirrel [Glaucomys sabrinus]), that cannot excavate their own.

In areas where their ranges overlap, Red-breasted and Red-naped sapsuckers are known to hybridize. The first major study of the breeding biology of these species was by Thomas Howell, who conducted 163 hours of observations at 14 nests in a hybrid zone in Modoc County, California (Howell 1952). Most recent work on this species has focused on Red-breasted–Red-naped sapsucker hybrid zones in Oregon (Trombino 1998). Reference to, and comparisons with, Yellow-bellied Sapsucker studies aid our understanding of this species (see Walters et al. 2002c)."
Cuban Green Woodpecker,Xiphidiopicus percussus,"The Cuban Green Woodpecker is perhaps the most common and widespread woodpecker on Cuba, and is one of two woodpeckers that are endemic to this island. Only the upperparts of this woodpecker are green. It also has a black crown and throat; the sides of the head are white, crossed by a black stripe behind the eye; the nape and the upper breast are red; and the underparts are yellow, streaked with black. There is a short crest on the rear crown. The Cuban Green Woodpecker occupies many different types of forest, including mangroves, and occurs from the lowlands up to 2000 m. This species usually forages singly or in pairs, but sometimes is encountered in small groups of three to five individuals. The diet is not well known, but anecdotal accounts emphasize the relatively large size of the insects that the Cuban Green Woodpecker consumes."
American Three-toed Woodpecker,Picoides dorsalis,"The American Three-toed Woodpecker (Picoides dorsalis), formerly known as the Three-toed or Northern Three-toed Woodpecker, is now considered distinct from populations in the northern Palearctic, where the Eurasian Three-toed Woodpecker (Picoides tridactylus) occurs. The American Three-toed Woodpecker is similar to other North American Picoides in having a heavy, chisel-like bill. Closely related to the Black-backed Woodpecker (P. arcticus), both species have comparable facial markings and differ from other North American woodpeckers in having 3 versus 4 toes and an absence of red in all plumages. The distribution of the American Three-toed Woodpecker generally coincides with that of spruce (Picea) forests, and thus, it breeds farther north than any other woodpecker species in North America. Like the Black-backed Woodpecker, and to a lesser degree the Hairy Woodpecker (P. villosus), the American Three-toed Woodpecker may benefit from locally abundant insect outbreaks resulting from natural disturbances such as wildfires and windthrow. The American Three-toed Woodpecker, however, forages mostly by scaling the bark of trees in search for bark beetles (Scolytidae), while the Black-backed Woodpecker excavates deeper into the wood in search of wood-boring beetle larvae (Cerambycidae). Populations of both woodpecker species are irruptive, but these irruptions are not necessarily simultaneous, which may reflect differences in their food preferences.

This resident of boreal coniferous forest has been little studied, owing to its quiet nature and therefore low detectability during passive surveys. It is generally uncommon, and unlike the Black-backed Woodpecker, the American Three-toed Woodpecker does not exhibit high population fluctuations following forest disturbances created by insect outbreaks. These characteristics, combined with its remote northern distribution, make it difficult to determine reliable population trends. The strong association of the American Three-toed Woodpecker to mature and old-growth spruce forests or recently disturbed forest stands make the species vulnerable to habitat loss and fragmentation that results from modern forestry. Indeed, short-rotation logging, fire suppression, and salvage logging of trees damaged by fire or insect outbreaks reduce the abundance of the species’ favored prey in both early-successional and late-successional forest stands.

Increased awareness of the importance of natural disturbances in forest ecosystems and economic pressure to expand logging in old-growth boreal forest has heightened interest in this woodpecker species. Still, the paucity of life-history data makes the American Three-toed Woodpecker an ideal candidate for further study. Among the most important research needs is to clearly define its ecological niche in areas where it is sympatric with the Black-backed Woodpecker. Other important ecological questions include: (1) long-term impacts of timber harvesting and salvage logging on its populations, (2) dynamics of dispersal and other demographic rates, (3) spatial and temporal pattern of pulse-resource interactions on demography, (4) wintering ecology, and (5) impacts of projected climate change."
Black-backed Woodpecker,Picoides arcticus,"One of the most enigmatic woodpeckers in North America, and likely to remain so because of its general rarity and uncertainty about its population dynamics. The Black-backed Woodpecker breeds in boreal forests from central Alaska and northern Canada, south to New England, the north-central U.S., and montane areas of the northwestern U.S. Despite its widespread breeding distribution, this woodpecker is confined mostly to stands populated by wood-boring insects in coniferous forests. It is an irruptive species that forages opportunistically on outbreaks of bark (e.g., Scolytidae) and especially wood-boring (e.g., Cerambycidae) beetles colonizing recently burned habitats. This restricted diet renders the species vulnerable to local and regional extinction due to fire-suppression programs, salvage logging (post-fire and post-outbreak), and rarefaction of mature and overmature forest stands.

The Black-backed Woodpecker’s sooty black dorsal plumage camouflages it against the bark of the burned trees that it favors for foraging. Its loud foraging taps, calls, and drumming patterns, however, facilitate detection. Both the Black-backed Woodpecker and its congener the American Three-toed Woodpecker (Picoides dorsalis) are easily approached, but the Black-backed often challenges an intruder with its Scream-Rattle-Snarl Call, one of the most distinctive and complex calls among Picoides woodpeckers. Three toes instead of four and, in males, a yellow crown patch instead of red, distinguish both the Black-backed and American Three-toed woodpeckers from other North American woodpeckers.

This species’ dependence on landscapes that experience regular fire and other large-scale forest disturbances is well known and exemplified by studies across its range: Alaska (Murphy and Lehnhausen 1998), Washington (Latif et al. 2013), Oregon (Cahall and Hayes 2009, Russell et al. 2009b, Latif et al. 2013), California (Hanson and North 2008, Saracco et al. 2011, Seavy et al. 2012, Tarbill et al. 2015), Idaho (Saab et al. 2004, Dudley and Saab 2007, Saab et al. 2009, Saab et al. 2011, Dudley and Saab 2007, Dudley et al. 2012, Latif et al. 2013), Alberta (Hoyt and Hannon 2002, Koivula and Schmiegelow 2007), Montana (Hutto and Gallo 2006), Wyoming (Vierling et al. 2008), South Dakota (Bonnot et al. 2008, Bonnot et al. 2009, Rota et al. 2014a, Rota et al. 2014b), and Québec (Nappi and Drapeau 2009, Nappi and Drapeau 2011). Recent studies revealed the importance of unburned forests for the species (Tremblay 2009, Fogg et al. 2014, Tremblay et al. 2014, Tremblay et al. 2015a, Tremblay et al. 2015b), and prompted questions about significance of beetle outbreaks on species demography (Bonnot et al. 2008, Rota et al. 2014a). Irruptive movements of Black-backed Woodpeckers into southeastern Canada and the northeastern U.S. have been well documented, and demonstrate this species’ remarkable ability to travel long distances (Van Tyne 1926, West and Speirs 1959, Yunick 1985), which seems to be linked with juvenile dispersal (Lowe et al. in prep.).

A recent study on the species' genetics indicated that the Oregon Cascades-California and Black Hills populations could be distinct from the boreal population (Pierson et al. 2010). These two populations are isolated, face habitat restriction, and were recently petitioned to be listed under the Endangered Species Act of 1973 (U.S.; Hanson et al. 2012). Future studies that should prove especially useful in understanding the Black-backed Woodpecker’s unique relationship to boreal forest disturbance dynamics include (1) dynamics of dispersal and demographic rates, (2) gene flow and genetic structure among populations, (3) wintering ecology, (4) spatial and temporal pattern of pulse-resource interactions on demography, (5) impacts of forest harvesting, and (6) impacts of climate change."
Great Spotted Woodpecker,Dendrocopos major,"This account summarizes the life history of the Great Spotted Woodpecker, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Downy Woodpecker,Dryobates pubescens,"The smallest and one of the most widespread of North American woodpeckers, the Downy Woodpecker is a year-round resident coast to coast and from the tree line in Canada and Alaska to south Florida and the riparian forests of southern California. Audubon (1: 249) commented on its ubiquity and broad habitat tolerance:

""I have found it pretty generally distributed from the lower parts of Louisiana to Labrador, and as far to the westward as I have travelled. It seems, in fact, to accommodate itself to circumstances, and to live contented anywhere.""

Although there is evidence of seasonal movements, these are not well understood, seem to involve only a small fraction of any population, and are more likely dispersal than migration. The Downy Woodpecker is equally at home in urban woodlots or more extensive forests and is readily attracted to backyard bird feeders. It is primarily insectivorous, focusing its foraging activities on surfaces, bark crevices, and shallow excavations of trees, shrubs, and woody weeds. Diet and foraging techniques vary with season and sex; indeed, this woodpecker species has become a classic illustration of differential niche use by the sexes: Males tend to forage more on smaller branches, females more on larger branches and trunks of trees.

The Downy Woodpecker varies geographically in size and plumage color and pattern, generally paralleling similar variation in the Hairy Woodpecker (Dryobates villosus), although not as pronounced (2, 3, 4). Sexes of adults are easily distinguished by the presence of a red nape bar in males, which is absent in females.

The Downy Woodpecker is a Linnaean species—named not by an American scientist, but by Carl Von Linne (i.e., Linnaeus), the father of the science of taxonomy. Linnaeus, however, never saw a Downy Woodpecker, instead basing his description (5) on the work of the American colonial naturalist Mark Catesby. It was Catesby who gave the species its common name, with ""Downy"" a reference to the soft white feathers of the white stripe on the lower back, in contrast to the similar, but more hairlike feathers on the lower back of the Hairy Woodpecker (6). Various authors have suggested (incorrectly or less precisely) alternative meanings: Therres (7) said simply that it was in reference to the soft appearance of its plumage; and Jobling (8) suggested it was a reference to the lesser bristles covering the nostrils of the Downy Woodpecker as compared to those of the Hairy Woodpecker.

In some aspects, such as foraging ecology, the Downy Woodpecker is remarkably well-studied. It has been the focus of several theses, dissertations, and major studies (e.g., 9, 10, 11, 12, 4, 13, 14, 14, 15), although winter foraging ecology has received the greatest emphasis. Some aspects of its breeding biology have been studied in detail, but basic questions, such as whether pairs can raise more than one brood per year or what hatching and fledging rates are, have received little attention. Most detailed ecological studies have been in the northern and eastern United States (e.g., Compton [16] in New York, and Staebler [17] in Michigan). Two theses have focused on vocalizations and drumming behavior (18, 19) and there have been 3 major studies of geographic variation (3, 4, JAJ). A popular book on the Downy Woodpecker includes excellent photos of nestlings and adults showing diverse behaviors and presents an overall review of the life history of this appealing species (see Ritchison [20]) ."
Nuttall's Woodpecker,Dryobates nuttallii,"“A narrow canyon whose floor harbors sycamores and alders and bay trees, nourished by a purling stream, and whose sides are lined with live oaks which run up into ceanothus chaparral, is precisely the best place to look for D. nuttallii.” —William L. Dawson, The Birds of California (1: 1001)

This woodpecker named in 1843 by William Gambel for his mentor, the famous British naturalist Thomas Nuttall (2), is closely associated with the oak woodlands of California. Its distribution extends from the northernmost reaches of California south to northern Baja California. A small black-and-white woodpecker with a barred back, the Nuttall's Woodpecker is quite similar in overall appearance to the Ladder-backed Woodpecker (Dryobates scalaris). For the most part, however, the ranges of the two species do not overlap.

The association of Nuttall's Woodpecker with California oak woodlands has been the emphasis of much of the writing about this species. Other aspects of its biology have received only superficial or incidental attention. The major references for the biology of Nuttall's Woodpecker (3, 4) provided a general overview of the life history of the species, but sample sizes of reported observations were often small. Remarkably little has been published on nesting biology; e.g., clutch-size information comes primarily from egg collections; data on incubation period is available for only one nest; and measures of hatching success and nestling growth are unknown. Many aspects of this species' nesting biology and behavior are undoubtedly similar to other Dryobates woodpeckers, especially the Ladder-backed Woodpecker, but study is needed to confirm this."
